event_minus_3,event_minus_2,event_minus_1,target_event,occurances
navigation||navigation,gaming||gaming,navigation||navigation,login||login,1149
navigation||navigation,banner||banner,navigation||navigation,betting||betting,1143
payments||payments,navigation||navigation,betting||betting,payments||payments,1118
payments||payments,betting||betting,navigation||navigation,payments||payments,1103
,,navigation||navigation,betting||betting,1096
promotions||promotions,navigation||navigation,betting||betting,navigation||navigation,1092
navigation||navigation,betting||betting,navigation||navigation,beat the drop||beat the drop,1089
login||login,navigation||navigation,login||login,betting||betting,1088
navigation||navigation,betting||betting,banner||banner,betting||betting,1079
betting||betting,navigation||navigation,betting||betting,beat the drop||beat the drop,1069
betting||betting,media||media,betting||betting,media||media,1069
media||media,navigation||navigation,media||media,betting||betting,1056
navigation||navigation,promotions||promotions,login||login,navigation||navigation,1048
login||login,betting||betting,login||login,betting||betting,1031
betting||betting,beat the drop||beat the drop,betting||betting,navigation||navigation,1029
betting||betting,navigation||navigation,promotions||promotions,login||login,1024
navigation||navigation,banner||banner,betting||betting,navigation||navigation,1022
betting||betting,navigation||navigation,my account||my account,navigation||navigation,1021
media||media,betting||betting,media||media,betting||betting,1012
betting||betting,banner||banner,betting||betting,navigation||navigation,1009
